series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
29978,001,ONA,1,0,1,0000-00-00,0000-00-00,,0,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41380,100-man no Inochi no Ue ni Ore wa Tatteiru,TV,12,0,1,0000-00-00,0000-00-00,,1,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
40148,22/7,TV,12,0,1,0000-00-00,0000-00-00,,3,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
31646,3-gatsu no Lion,TV,22,0,22,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35180,3-gatsu no Lion 2nd Season,TV,22,0,22,0000-00-00,2018-11-24,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38101,5-toubun no Hanayome,TV,12,0,6,0000-00-00,0000-00-00,,4,,0.00,Dropped, #A comédia n me pegou e eu n consigo me importar com nenhum personagem,0,,LOW,,0,0,1,default,0
38735,7 Seeds,ONA,12,0,1,0000-00-00,0000-00-00,,2,,0.00,Dropped, #é só mais uma adaptação bosta da netflix,0,,LOW,,0,0,1,default,0
25397,Absolute Duo,TV,12,0,5,0000-00-00,0000-00-00,,2,,0.00,Dropped, #é só uma historinha genérica sobre uma escola de magia. Bem mal feitinho,0,,LOW,,0,0,1,default,0
39790,Adachi to Shimamura,TV,12,0,3,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
36904,Aggressive Retsuko (ONA),ONA,10,0,10,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37985,Aggressive Retsuko (ONA) 2nd Season,ONA,10,0,10,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40215,Aggressive Retsuko (ONA) 3rd Season,ONA,10,0,10,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34881,Aho Girl,TV,12,0,12,0000-00-00,0000-00-00,,3,,0.00,Completed,,0,,LOW,,0,0,1,default,0
17082,Aiura,TV,12,0,3,0000-00-00,0000-00-00,,2,,0.00,Dropped, #episódios curtos com uma comédia fraca #só a op e a ed ocupam metade do anime,0,,LOW,,0,0,1,default,0
22199,Akame ga Kill!,TV,24,0,24,0000-00-00,0000-00-00,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36864,Akkun to Kanojo,TV,25,0,25,0000-00-00,0000-00-00,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32828,Amaama to Inazuma,TV,12,0,12,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
22147,Amagi Brilliant Park,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
31519,Anitore! EX,TV,12,0,12,0000-00-00,0000-00-00,,1,,0.00,Completed,,0,,LOW,,0,0,1,default,0
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,0,11,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
11111,Another,TV,12,0,12,0000-00-00,0000-00-00,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
24833,Ansatsu Kyoushitsu,TV,22,0,22,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
30654,Ansatsu Kyoushitsu 2nd Season,TV,25,0,25,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
21995,Ao Haru Ride,TV,12,0,12,0000-00-00,2018-09-28,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
9919,Ao no Exorcist,TV,25,0,25,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33506,Ao no Exorcist: Kyoto Fujouou-hen,TV,12,0,12,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
